Nom,Viet
𤾓𢆥𥪞𡎝𠊛些,Trăm năm trong cõi người ta
𫳘才𫳘命窖𱺵恄𠑬,Chữ tài chữ mệnh khéo là ghét nhau
𣦰戈𱥺局𣷭橷,Trải qua một cuộc bể dâu
仍調𬂙𧡊㐌𤴬疸𢚸,Những điều trông thấy đã đau đớn lòng
𨓐咦彼嗇斯豐,Lạ gì bỉ sắc tư phong
𡗶撑悁貝𦟐紅打慳,Trời xanh quen với má hồng đánh ghen
稿𦹳吝𱠎𠓀畑,Cảo thơm lần giở trước đèn
風情固錄羣傳史撑,Phong tình có lục còn truyền sử xanh
浪𢆥嘉靖朝明,Rằng năm Gia Tĩnh triều Minh
𦊚方滂𣼽𠄩京凭鐄,"Bốn phương phẳng lặng, hai kinh vững vàng"
固茄員外户王,Có nhà viên ngoại họ Vương
家資𠉝拱常常堛中,Gia tư nghỉ cũng thường thường bậc trung
𱥺𱰺𡥵次𡦧𢚸,Một trai con thứ rốt lòng
王觀𱺵𫳘綏𣳔儒家,Vương Quan là chữ nối dòng nho gia
頭𢚸𠄩婀嫊娥,Đầu lòng hai ả tố nga
翠翹𱺵姉㛪𱺵翠雲,"Thuý Kiều là chị, em là Thuý Vân"
梅骨格雪精神,"Mai cốt cách, tuyết tinh thần"
𱥺𠊛𱥺𨤔𨑮分院𨑮,"Một người một vẻ, mười phân vẹn mười"
雲䀡莊重恪撝,Vân xem trang trọng khác vời
囷𦝄𣹓惮󰞺𧍋𦬑囊,"Khuôn trăng đầy đặn, nét ngài nở nang"
花唭玉呐端莊,Hoa cười ngọc nói đoan trang
𩄲輸渃𩯀雪讓牟䏧,"Mây thua nước tóc, tuyết nhường màu da"
翹強色巧𪉽麻,Kiều càng sắc sảo mặn mà
搊皮才色吏𱺵分欣,So bề tài sắc lại là phần hơn
澜秋水𤵖春山,"Làn thu thuỷ, nét xuân sơn"
花慳輸𧺀柳𢤞劍撑,"Hoa ghen thua thắm, liễu hờn kém xanh"
𱥺𠄩迎渃迎城,Một hai nghiêng nước nghiêng thành
色仃𠾕𱥺才仃和𠄩,"Sắc đành đòi một, tài đành hoạ hai"
聰明本産資𡗶,Thông minh vốn sẵn tư trời
坡藝詩𪽗𲄋味歌吟,"Pha nghề thi hoạ, đủ mùi ca ngâm"
宮商漏堛五音,"Cung, thương làu bậc Ngũ âm"
藝𥢅咹䋎胡琴𱥺張,Nghề riêng ăn đứt Hồ cầm một trương
曲茄𢬣攄𢧚腔,Khúc nhà tay lựa nên xoang
𱥺宮薄命吏強𱞐人,Một cung bạc mệnh lại càng não nhân
風流窒墨紅裙,Phong lưu rất mực hồng quần
春撑執齒細旬及筓,Xuân xanh xấp xỉ tới tuần cập kê
淹念帳𢷀幔𩂏,Êm niềm trướng rủ màn che
墻東螉𧊉𠫾𧗱默埃,Tường đông ong bướm đi về mặc ai
𣈜春𡥵燕迻梭,Ngày xuân con én đưa thoi
韶光𠃩𨔿㐌外𦒹𨑮,Thiều quang chín chục đã ngoài sáu mươi
𦹵𡽫撑羨蹎𡗶,Cỏ non xanh tận chân trời.
梗梨𤽸點𱥺𠄽芃花,Cành lê trắng điểm một vài bông hoa
清明𥪞節𣎃𠀧,Thanh minh trong tiết tháng ba
礼𱺵掃墓會𱺵踏青,"Lễ là Tảo mộ, hội là Đạp thanh"
𧵆賒奴𠽋燕鸚,Gần xa nô nức yến anh
姉㛪攕𢯢步行𨔈春,Chị em sắm sửa bộ hành chơi xuân
習妙才子佳人,Dập dìu tài tử giai nhân
馭車如渃襖裙如揇,"Ngựa xe như nước, áo quần như nêm"
袞昂塸埬捁𨖲,Ngổn ngang gò đống kéo lên
梭鐄𥿠𫽘烣錢絏𢒎,Thoi vàng vó rắc tro tiền giấy bay
斜斜𩃳我𧗱西,Tà tà bóng ngả về tây
姉㛪他矧𢬥𢬣𫥨𧗱,Chị em thơ thẩn dan tay ra về
𨀈寅蹺𦰟小溪,Bước dần theo ngọn tiểu khê
吝䀡風景固皮清清,Lần xem phong cảnh có bề thanh thanh
㝹㝹𣳔渃捥𨒺,Nao nao dòng nước uốn quanh
揲梂儒𡮈𡳜𡌿北昂,Nhịp cầu nho nhỏ cuối ghềnh bắc ngang
茌茌埝坦边塘,Sè sè nấm đất bên đàng
油油𦰟𦹵姅鐄姅撑,Dầu dầu ngọn cỏ nửa vàng nửa xanh
浪牢𥪞節清明,"Rằng: ""Sao trong tiết Thanh minh"
麻低香𤌋永腥世麻,"Mà đây hương khói vắng tanh thế mà""."
王觀買引𧵆賒,Vương Quan mới dẫn gần xa
淡仙娘意𠸗𱺵𰙔兒,"""Đạm Tiên nàng ấy xưa là ca nhi"
浽名才色𱥺時,Nổi danh tài sắc một thì
𠮿嗃外𲈾𱕤咦燕鸚,Xôn xao ngoài cửa hiếm gì yến anh
刧紅顔固蒙萌,Kiếp hồng nhan có mong manh
姅澄春脱技梗天香,Nửa chừng xuân thoắt gãy cành thiên hương
固𠊛客於遠方,Có người khách ở viễn phương
賒𦖑拱𠽋㗂娘尋𨔈,Xa nghe cũng nức tiếng nàng tìm chơi
船情皮㨳細尼,Thuyền tình vừa ghé tới nơi
時佗簪技𤭸淶包𣇞,Thì đà trâm gãy bình rơi bao giờ
𢩣空𣼽𠖯如祠,Buồng không lặng ngắt như tờ
𨁪車馭㐌𧄈矑𥊚撑,Dấu xe ngựa đã rêu lờ mờ xanh
哭嘆坤挈事情,Khóc than khôn xiết sự tình
窖無緣𱥯𱺵命貝些,Khéo vô duyên mấy là mình với ta
㐌仃緣𠓀拯麻,Đã đành duyên trước chẳng mà
時之𡭧的噲𱺵緣𡢐,Thời chi chút đích gọi là duyên sau
攕生摄梓車珠,Sắm sanh nếp tử xe châu
𡏧紅𱥺埝默油𦹵花,Vùi hồng một nấm mặc dầu cỏ hoa
𣦰包兔吝鵶斜,Trải bao thỏ lận ác tà
意墓無主埃麻𠶇𠶀,"Ấy mồ vô chủ ai mà viếng thăm""."
𢚸兜産𱹵傷心,Lòng đâu sẵn món thương tâm
脱𦖑翹㐌潭潭珠沙,Thoạt nghe Kiều đã đầm đầm châu sa
𤴬疸台分弹𱙘,Đau đớn thay phận đàn bà
𠳒浪薄命拱𱺵𠳒終,Lời rằng bạc mệnh cũng là lời chung
𢰺傍之𱥯化工,Phũ phàng chi mấy hoá công
𣈗撑𱱊痗𦟐紅配坡,Ngày xanh mòn mỏi má hồng phôi pha
𤯨爫𡞕插𠊛些,Sống làm vợ khắp người ta
窖台𣨰𫴋爫魔空𫯳,Khéo thay thác xuống làm ma không chồng
芇𠊛鳳乍鸾終,Nào người phượng chạ loan chung
芇𠊛惜綠貪紅𱺵埃,Nào người tiếc lục tham hồng là ai
㐌空几兑𠊛懷,Đã không kẻ đoái người hoài
産低些劍𱥺𠄽𤓢香,Sẵn đây ta kiếm một vài nén hương.
噲𱺵﨤𫽻𡧲塘,Gọi là gặp gỡ giữa đường
和𱺵𠊛𤲂𱧎鐄別朱,Hoạ là người dưới suối vàng biết cho
啉𠽍𭝫𠼯𡮈蘇,Lầm rầm khấn khứa nhỏ to
𨀎𡓮𢽼𩠓𠓀墓𨀈𫥨,Sụp ngồi và gật trước mồ bước ra
𱥺𡓄𦹵曖𩃳斜,Một vùng cỏ áy bóng tà
𫗄休休𠺙𱥺𢽼芃𦰤,Gió hiu hiu thổi một và bông lau
隻簪産㩫𠃅頭,Chiếc trâm sẵn giắt mái đầu
拍䏧𣘃詠糝勾𦊚韻,Vạch da cây vịnh tám câu bốn vần
吏強迷𢠨心神,Lại càng mê mẩn tâm thần
吏強𥪸𨄷秦垠渚𫥨,Lại càng đứng sựng tần ngần chưa ra
吏強塢𢝀󰞺花,Lại càng ủ dột nét hoa
愁𣻆䋎綏珠沙𥐆𨱽,"Sầu tuôn đứt nối, châu sa vắn dài"
雲浪姉拱𠽋唭,"Vân rằng: ""Chị cũng nực cười"
窖餘渃眜哭𠊛古初,Khéo dư nước mắt khóc người cổ sơ
浪紅顔自課𠸗,Rằng: “Hồng nhan tự thuở xưa
丐條薄命固除埃兜,Cái điều bạc mệnh có chừa ai đâu
餒念想旦麻𤴬,Nỗi niềm tưởng đến mà đau
𧡊𠊛𦣰妬別𡢐世芇,"Thấy người nằm đó, biết sau thế nào""."
觀浪姉呐𫨩牢,"Quan rằng: ""Chị nói hay sao"
𱥺𠳒𱺵𱥺運𠓨庫𦖑,Một lời là một vận vào khó nghe
於低陰氣𥘀泥,Ở đây âm khí nặng nề
𩃳朝㐌我𨤵𧗱群賒,"Bóng chiều đã ngả, dặm về còn xa""."
翹浪仍𠎬才花,"Kiều rằng: ""Những đấng tài hoa"
𣨰𱺵体魄羣𱺵精英,"Thác là thể phách, còn là tinh anh"
易台情吏﨤情,Dễ thay tình lại gặp tình
除䀡乙𧡊顕灵悲𣇞,"Chờ xem ắt thấy hiển linh bây giờ""."
𱥺𠳒呐渚及䜹,Một lời nói chửa kịp thưa
丿兜陣𫗄捲旗旦𣦍,Phút đâu trận gió cuốn cờ đến ngay
